timestamp, pose_x, pose_y, velocity_x, velocity_y, angle
5.63333,21.5401,3.83321,9.56634,-0.079723,-0.0083335
5.66667,21.859,3.83056,9.49967,-0.0791674,-0.0083335
5.7,22.1756,3.82792,9.43301,-0.0786118,-0.0083335
5.73333,22.49,3.8253,9.36635,-0.0780563,-0.0083335
5.76667,22.8023,3.8227,9.29968,-0.0775007,-0.0083335
5.8,23.1122,3.82011,9.23302,-0.0769452,-0.0083335
5.83333,23.42,3.81755,9.16635,-0.0763896,-0.0083335
5.86667,23.7256,3.815,9.09969,-0.075834,-0.0083335
5.9,24.0289,3.81247,9.03302,-0.0752785,-0.0083335
5.93333,24.33,3.80996,8.96636,-0.0747229,-0.0083335
5.96667,24.6289,3.80747,8.8997,-0.0741674,-0.0083335
6,24.9255,3.805,8.83303,-0.0736118,-0.0083335
6.03333,25.2199,3.80255,8.76637,-0.0730562,-0.0083335
6.06667,25.5122,3.80011,8.6997,-0.0725007,-0.0083335
6.1,25.8022,3.7977,8.63304,-0.0719451,-0.0083335
6.13333,26.0899,3.7953,8.56637,-0.0713896,-0.0083335
6.16667,26.3755,3.79292,8.49971,-0.070834,-0.0083335
6.2,26.6588,3.79056,8.43305,-0.0702784,-0.0083335
6.23333,26.9399,3.78821,8.36638,-0.0697229,-0.0083335
6.26667,27.2188,3.78589,8.29972,-0.0691673,-0.0083335
6.3,27.4954,3.78358,8.23305,-0.0686118,-0.0083335
6.33333,27.7699,3.7813,8.16639,-0.0680562,-0.0083335
6.36667,28.0421,3.77903,8.09972,-0.0675006,-0.0083335
6.4,28.3121,3.77678,8.03306,-0.0669451,-0.0083335
6.43333,28.5798,3.77455,7.96639,-0.0663895,-0.0083335
6.46667,28.8454,3.77233,7.89973,-0.065834,-0.0083335
6.5,29.1087,3.77014,7.83307,-0.0652784,-0.0083335
6.53333,29.3698,3.76796,7.7664,-0.0647228,-0.0083335
6.56667,29.6287,3.76581,7.69974,-0.0641673,-0.0083335
6.6,29.8853,3.76367,7.63307,-0.0636117,-0.0083335
6.63333,30.1398,3.76155,7.56641,-0.0630562,-0.0083335
6.66667,30.392,3.75945,7.49974,-0.0625006,-0.0083335
6.7,30.642,3.75736,7.43308,-0.061945,-0.0083335
6.73333,30.8898,3.7553,7.36642,-0.0613895,-0.0083335
6.76667,31.1353,3.75325,7.29975,-0.0608339,-0.0083335
6.8,31.3786,3.75122,7.23309,-0.0602784,-0.0083335
6.83333,31.6197,3.74921,7.16642,-0.0597228,-0.0083335
6.86667,31.8586,3.74722,7.09976,-0.0591672,-0.0083335
6.9,32.0953,3.74525,7.03309,-0.0586117,-0.0083335
6.93333,32.3297,3.7433,6.96643,-0.0580561,-0.0083335
6.96667,32.5619,3.74136,6.89977,-0.0575006,-0.0083335
7,32.7919,3.73944,6.8331,-0.056945,-0.0083335
7.03333,33.0197,3.73755,6.76644,-0.0563894,-0.0083335
7.06667,33.2452,3.73567,6.69977,-0.0558339,-0.0083335
7.1,33.4686,3.73381,6.63311,-0.0552783,-0.0083335
7.13333,33.6897,3.73196,6.56644,-0.0547228,-0.0083335
7.16667,33.9085,3.73014,6.49978,-0.0541672,-0.0083335
7.2,34.1252,3.72833,6.43312,-0.0536116,-0.0083335
7.23333,34.3396,3.72655,6.36645,-0.0530561,-0.0083335
7.26667,34.5519,3.72478,6.29979,-0.0525005,-0.0083335
7.3,34.7618,3.72303,6.23312,-0.051945,-0.0083335
7.33333,34.9696,3.7213,6.16646,-0.0513894,-0.0083335
7.36667,35.1752,3.71958,6.09979,-0.0508338,-0.0083335
7.4,35.3785,3.71789,6.03313,-0.0502783,-0.0083335
7.43333,35.5796,3.71621,5.96647,-0.0497227,-0.0083335
7.46667,35.7785,3.71456,5.8998,-0.0491672,-0.0083335
7.5,35.9751,3.71292,5.8998,-0.0491672,-0.0083335
