timestamp, pose_x, pose_y, velocity_x, velocity_y
4.93333,-3.45465,-3.93473,-4.22032,0.11534
4.96667,-3.55892,-3.93146,-4.10537,0.113518
5,-3.64512,-3.91457,-3.94541,0.1549
5.03333,-3.7367,-3.91004,-3.81931,0.152895
5.06667,-3.81792,-3.89405,-3.67377,0.18731
5.1,-3.89751,-3.88077,-3.5384,0.209517
5.13333,-3.97493,-3.86938,-3.41043,0.223425
5.16667,-4.05224,-3.86039,-3.29555,0.228319
5.2,-4.12576,-3.85413,-3.18082,0.224031
5.23333,-4.19555,-3.84728,-3.06638,0.222096
5.26667,-4.26248,-3.83868,-2.95498,0.225875
5.3,-4.32638,-3.83024,-2.84571,0.228748
5.33333,-4.38639,-3.82408,-2.73567,0.224119
5.36667,-4.44449,-3.81667,-2.63118,0.223921
5.4,-4.50451,-3.81401,-2.54375,0.208767
5.43333,-4.558,-3.81223,-2.44489,0.192399
5.46667,-4.63888,-3.83989,-2.44295,0.0848066
5.5,-4.7101,-3.86442,-2.4107,-0.0015879
5.53333,-4.7741,-3.88322,-2.35904,-0.0607701
5.56667,-4.8308,-3.89856,-2.28978,-0.102842
5.6,-4.88284,-3.91162,-2.21308,-0.133234
5.63333,-4.92792,-3.9224,-2.12251,-0.153253
5.66667,-4.96803,-3.93096,-2.02573,-0.164154
5.7,-5.0029,-3.93731,-1.92263,-0.166926
5.73333,-5.0309,-3.94168,-1.80866,-0.163169
5.76667,-5.05579,-3.94368,-1.69686,-0.152308
5.8,-5.0796,-3.94347,-1.59343,-0.135605
5.83333,-5.0983,-3.94333,-1.48476,-0.120901
5.86667,-5.11272,-3.94296,-1.37403,-0.106985
5.9,-5.12402,-3.9422,-1.26505,-0.0933244
5.93333,-5.13343,-3.94065,-1.16162,-0.0786206
5.96667,-5.13945,-3.93962,-1.05837,-0.0670916
6,-5.14099,-3.93994,-0.951809,-0.0610415
6.03333,-5.14056,-3.94048,-0.850251,-0.0563202
6.06667,-5.13791,-3.94185,-0.752401,-0.054712
6.1,-5.13378,-3.94351,-0.660163,-0.0542135
6.13333,-5.12755,-3.94611,-0.570977,-0.0567169
6.16667,-5.11976,-3.94953,-0.486277,-0.061527
6.2,-5.11053,-3.9539,-0.405962,-0.0688704
6.23333,-5.09944,-3.95939,-0.328203,-0.0789424
6.26667,-5.08659,-3.96558,-0.253074,-0.090193
6.3,-5.07192,-3.97266,-0.180106,-0.103035
6.33333,-5.05489,-3.98086,-0.107348,-0.118096
6.36667,-5.03618,-3.98958,-0.0369669,-0.133209
6.4,-5.01544,-3.99816,0.0324196,-0.146272
6.43333,-4.99217,-4.00683,0.102493,-0.158241
6.46667,-4.96564,-4.01662,0.175475,-0.172512
6.5,-4.93533,-4.02631,0.252706,-0.184958
6.53333,-4.89935,-4.0355,0.339748,-0.194499
6.56667,-4.86086,-4.045,0.425513,-0.204023
6.6,-4.8158,-4.05435,0.523031,-0.212069
6.63333,-4.76603,-4.06325,0.625133,-0.217857
6.66667,-4.7094,-4.0726,0.738155,-0.224456
6.7,-4.64625,-4.08057,0.859873,-0.226014
6.73333,-4.57889,-4.08686,0.982094,-0.222079
6.76667,-4.50614,-4.09093,1.10843,-0.211539
6.8,-4.4222,-4.08964,1.25683,-0.185208
6.83333,-4.33588,-4.08816,1.39715,-0.161052
6.86667,-4.25173,-4.08894,1.51581,-0.146533
6.9,-4.16568,-4.0911,1.62797,-0.137928
6.93333,-4.07548,-4.09334,1.74146,-0.130488
6.96667,-3.98146,-4.09617,1.85506,-0.125713
7,-3.88285,-4.09661,1.97118,-0.113847
7.03333,-3.78153,-4.09636,2.08365,-0.101097
7.06667,-3.67808,-4.09794,2.19099,-0.0954317
7.1,-3.57225,-4.10002,2.29456,-0.0919658
7.13333,-3.46454,-4.10394,2.39316,-0.0946614
